Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Gemeinschaftskrankenhaus Havelhöhe gGmbH,Hospitals & Acute Care,2026-06-15,Part-time,,"Medical assistant supporting ward operations at Gemeinschaftskrankenhaus Havelhöhe in Berlin, including patient admission and discharge coordination, examination scheduling, blood draws, and correspondence with patients and staff.","Completed training as a Medical Assistant (MFA); team orientation, initiative, and empathy when dealing with seriously ill patients and their relatives.",Performance-related pay including retirement and child allowance; Havelhöhe Comfort Card with €45 monthly non-cash benefit after 6 months; 30 days annual leave; comprehensive leisure and health offerings; free parking.,On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-m-w-d-Berlin-Gemeinschaftskrankenhaus-Havelhoehe-gGmbH--13257488-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"und Pflege der Ablage Materialbestellungen, Material auffüllen Wir wünschen uns Qualifikation und Ausbildung: Eine abgeschlossene Ausbildung als Medizinische Fachangestellte | • Materialbestellungen, Material auffüllen • Qualifikation und Ausbildung: Eine abgeschlossene Ausbildung als Medizinische Fachangestellte – MFA (m/w/d)",,Hospitals & Acute Care,https://www.stepstone.de/cmp/de/gemeinschaftskrankenhaus-havelh%c3%b6he-ggmbh-101643/jobs,job-94,93
Nursing Care Assistant / Healthcare Aide,Nursing Associate Professionals (3221),3221,322,32,Nursing Associate Professionals,Berlin,DRK-Kliniken Berlin Pflege & Wohnen Mariendorf,Long-term Care & Social Services,2026-06-15,Part-time,,"Care assistant role at DRK-Kliniken Berlin Mariendorf supporting residents with basic care tasks including washing, dressing, personal hygiene, mobilisation, eating and drinking assistance, and light domestic activities in a residential care facility.","Completed 1.5-year qualification as Pflegefachassistent/in, or completed minimum 1-year qualification as Gesundheits- und Krankenpflegehelfer/in or Altenpflegehelfer/in.",Flexible working models (full-time or part-time); gross base salary according to in-house collective agreement for nursing care assistants.,On-site,https://www.stepstone.de/stellenangebote--Arbeite-mit-Beverly-als-Pflegefachassistentin-Krankenpflegehelferin-in-unserer-Pflegeeinrichtung-Berlin-DRK-Kliniken-Berlin-Pflege-Wohnen-Mariendorf--13906788-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,,job-95,94
Medical Assistant / Dental Assistant / Operating Theatre Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Übag Hakan Uzun & White Smile MVZ GbR,Outpatient & Ambulatory Care,2026-06-15,Part-time,,"Multi-role position at a medical/dental centre in Berlin covering patient reception and care, coordination of treatment workflows, assistance during dermatological examinations and procedures, telephone management, and supply ordering.","Professional experience required; friendly manner; team orientation and loyalty; very good German language skills; strong communication and empathy; basic knowledge of office administration, general medicine assistance, and billing.",Collegial team with flat hierarchies; attractive pay with regular working hours; no weekend or public holiday work; participation in continuing education; 30 days annual leave.,On-site,https://www.stepstone.de/stellenangebote--Freundliche-MFA-ZTA-OTA-m-w-d-in-Vollzeit-Teilzeit-gesucht-Berlin-Uebag-Hakan-Uzun-White-Smile-MVZ-GbR--13908038-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-96,95
Nursing Professional (Elder Care),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,pluss Personalmanagement GmbH,Staffing Agencies & Other,2026-06-15,Part-time,,"Qualified elder care nurse placed via staffing agency pluss Personalmanagement, responsible for basic and treatment nursing, planning and carrying out nursing measures, supporting residents with daily tasks, and maintaining nursing documentation.","Completed qualification as Altenpfleger/in or equivalent; both experienced professionals and career starters welcome; responsibility, empathy, social competence, and teamwork skills.","Fair pay with attractive supplements (Saturday 7.5%, Sunday 50%, night 25%, public holiday 100%); holiday and Christmas pay; permanent contract with above-tariff social benefits; option for further training in out-of-hospital ventilation care; Deutschlandticket or company vehicle possible.",On-site,https://www.stepstone.de/stellenangebote--Altenpfleger-m-w-d-Berlin-pluss-Personalmanagement-GmbH--12729143-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,on Pflegedokumentationen Unsere Anforderungen an Dich als Altenpfleger (m/w/d): Abgeschlossene Ausbildung als Altenpfleger (m/w/d) o | Qualifikation Sowohl erfahrene Fachkräfte als auch Einsteiger sind bei uns willkommen Verantw | • Führen von Pflegedokumentationen • Abgeschlossene Ausbildung als Altenpfleger (m/w/d) o,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pluss-personalmanagement-gmbh-223462/jobs,job-97,96
Nursing Professional (Outpatient Care),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Ambulanter Pflegedienst Pfau GmbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Qualified nursing professional at an outpatient care service in Berlin carrying out basic and treatment nursing, maintaining nursing documentation, administering medications, and responding to patient needs.","Completed examination as Pflegefachmann/frau, Gesundheits- und Krankenpfleger/in, Gesundheits- und Kinderkrankenpfleger/in, or Altenpfleger/in; high level of nursing competence, empathy, reliability, and team orientation.",Not specified,On-site,https://www.stepstone.de/stellenangebote--Pflegefachmann-frau-Berlin-Ambulanter-Pflegedienst-Pfau-GmbH--14086410-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Residential & Long-Term Care,,job-98,97
Medical Assistant (Gynaecology Practice),Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Dr. Ursula Walle und Dr. Sema Saatci & Dr. med. Sema Saatci,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Medical assistant position in a gynaecology practice in Berlin, covering patient reception, appointment scheduling, practice organisation, assistance during examinations, care of pregnant patients including CTG monitoring, and administrative documentation tasks.","Friendly manner and teamwork skills; reliability and sense of responsibility; interest in gynaecology; basic PC skills; basic knowledge of patient admission, administration, patient care, and blood draws.","Part-time or full-time possible; friendly and supportive team; modern, spacious, light-filled practice; structured onboarding including for career changers; annual contracts with very high probability of renewal.",On-site,https://www.stepstone.de/stellenangebote--Wir-suchen-Medizinische-Fachangestellte-m-w-d-Berlin-Dr-Ursula-Walle-und-Dr-Sema-Saatci-Dr-med-Sema-Saatci--14087089-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-99,98
Nursing Professional – Vivantes Humboldt-Klinikum,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Vivantes Humboldt-Klinikum,Hospitals & Acute Care,2026-06-14,Part-time,,"Nursing professional role at Vivantes Humboldt-Klinikum in Berlin Reinickendorf encompassing all core nursing tasks, empathic and needs-oriented patient care, participation in diagnostic and therapeutic processes, and active contribution to nursing quality development.","Completed qualification as Pflegefachfrau/Pflegefachmann/Pflegefachperson, Gesundheits- und Krankenpfleger/in, Gesundheits- und Kinderkrankenpfleger/in, or Altenpfleger/in; social competence and communication skills; willingness to work three-shift rotation; statutory proof of measles immunisation.",Structured onboarding; pay according to TVöD collective agreement; occupational pension (VBL); option for subsidised additional pension; CNE digital continuing education platform; good transport links; staff parking; company health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Humboldt-Klinikum-Berlin-Reinickendorf-Vivantes-Humboldt-Klinikum--13912601-inline.html,HEALTHCARE,Berlin Reinickendorf,2026-06-19,,,,,"eit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD – je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Humboldt-Klinikum Bereich: verschiedene | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-humboldt-klinikum-82687/jobs,job-100,99
Trainee Educator - Movement and Nutrition Profile (Part-Time),Other/Non-Healthcare,2342,234,23,Primary School Teachers,Brandenburg,Berufliche Schulen der Europäischen Sportakademie Land Brandenburg,Staffing Agencies & Other,2026-06-14,Part-time,,"Part-time vocational training program to become a certified educator (Erzieher) with a specialization in movement and nutrition, offered by a sports academy in Potsdam. Trainees apply educational content directly in practice while earning additional sports coaching licenses.",University entrance qualification (Fachhochschulreife/Abitur) or intermediate school leaving certificate plus a completed relevant or non-relevant vocational training of at least two years.,Cooperation partner covers school fees and may pay additional training allowance; additional practical qualifications via German Olympic Sports Confederation and ESAB licenses; direct application of learned content in practice.,On-site,https://www.stepstone.de/stellenangebote--Ausbildung-zum-Erzieher-m-w-d-Profil-Bewegung-und-Ernaehrung-in-Teilzeit-Potsdam-Falkensee-Nauen-Werder-Havel-Brandenburg-an-der-Havel-Berufliche-Schulen-der-Europaeischen-Sportakademie-Land-Brandenburg--11686036-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,"MSA, Realschulabschluss) und eine abgeschlossene einschlägige Berufsausbildung oder Fachoberschulreife (bzw | MSA, Realschulabschluss) und eine abgeschlossene nichteinschlägige Berufsausbildung (mindestens zweijährig) Wir bieten Der Kooperationspartner übernimmt die Schulg | hen Olympischen Sportbundes und der ESAB absolvieren Sie zusätzliche praxisnahe Qualifikationen Sie setzen erlernte Ausbildungsinhalte direkt in der Praxis um Unser Team unt",,Medical & Dental Practices,https://www.stepstone.de/cmp/de/berufliche-schulen-der-europ%c3%a4ischen-sportakademie-land-brandenburg-366012/jobs,job-101,100
Qualified Nurse for Modern Intensive Care Shared Housing,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,DTP GMBH DEUTSCH-TÜRKISCHER PFLEGEDIENST,Long-term Care & Social Services,2026-06-14,Full-time,,"Qualified nurse responsible for intensive care of approximately four patients in a modern out-of-hospital intensive care shared housing unit in Berlin, including ventilator management, basic and treatment nursing, and care documentation. The role involves independent operation and monitoring of ventilation equipment.","Completed qualification as a certified care nurse (Altenpfleger, Gesundheits- und Krankenpfleger, or Gesundheits- und Kinderkrankenpfleger); ideally experience in intensive care; good German language skills; Turkish language skills desirable; responsible, reliable, and empathetic.",Above-average fair pay; calm workplace away from stressful hospital routine; extensive free continuing education; specialist further training for staff without intensive care experience; individual onboarding; good development opportunities and family-like atmosphere.,On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegekraft-m-w-fuer-moderne-Intensivpflege-WG-Berlin-DTP-GMBH-DEUTSCH-TUERKISCHER-PFLEGEDIENST--14087137-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"tion und Durchführung von pflegerischen Maßnahmen Ihr Profil Das bringen Sie mitAbgeschlossene Ausbildung als examinierter Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) | , Dokumentation und Durchführung von pflegerischen Maßnahmen Das bringen Sie mitAbgeschlossene Ausbildung als examinierter Altenpfleger (m/w/d), Gesundheits- und Krankenpfleger (m/w/d)",,Residential & Long-Term Care,,job-102,101
Educator for Early Childhood Education,Other/Non-Healthcare,2342,234,23,Primary School Teachers,Berlin,Kindertagesstätte Europa-Kita,Staffing Agencies & Other,2026-06-14,Part-time,,"Educator role in a Berlin daycare center responsible for promoting children's development across all areas according to the Berlin Education Programme, conducting pedagogical activities, and documenting developmental progress. The role involves participatory daily design with children and conducting developmental consultations with parents.","Basic knowledge of open kindergarten work; advanced knowledge in pre-school education, play pedagogy, early intervention.",Full-time and part-time flexible working hours; permanent employment contract; salary based on TVL; health bonus; travel allowance; training budget; free lunch; opportunity for further training as inclusion specialist.,On-site,https://www.stepstone.de/stellenangebote--liebevolle-ErzieherIn-m-w-d-fuer-den-Elementarbereich-gesucht-Berlin-Kindertagesstaette-Europa-Kita--14086344-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"suchen derzeit zur Unterstützung unseres tollen Teams im Elementarbereich eine staatlich anerkannte Erzieherin, Kindheitspädagogin, Sozialpädagogin, Sozialarbeiterin oder Heilpäd",,Other Healthcare Providers,,job-103,102
Quality Officer - Nursing Service Manager,Health Services Managers,1342,134,13,Health Service Managers,Berlin,SunaCare GmbH,Long-term Care & Social Services,2026-06-14,Full-time,,"Quality officer and nursing service manager responsible for developing and implementing quality processes in accordance with §45a SGB XI, overseeing quality standards, and directing the care and support process within a Berlin-based home care service. The role is directly involved in the conceptual development of quality management without shift work requirements.","Completed three-year training in elderly care or healthcare nursing; completed further training as nursing service manager (PDL) or equivalent qualification; communicative, reflective personality; team-oriented and reliable.","Attractive workplace in a centrally located, well-connected area of Berlin; transparent company culture with short decision-making paths; family-run German-Polish company in a future-oriented sector.",Remote,https://www.stepstone.de/stellenangebote--Qualitaetsbeauftragte-PDL-m-w-d-Berlin-SunaCare-GmbH--14151813-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Pflegedienstleitung (PDL) abgeschlossen oder verfügst über einen vergleichbaren Abschluss Du bist kommunikativ und besitzt eine reflektierende Persönlichkeit Du bist tea | Pflegedienstleitung (PDL) abgeschlossen oder verfügst über einen vergleichbaren Abschluss,,Residential & Long-Term Care,,job-104,103
Receptionist / Medical Assistant,Medical Assistants,3256,325,32,Medical Assistants,Berlin,Rothstein Physiotherapie GmbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Receptionist and administrative support role at a physiotherapy practice in Berlin, responsible for welcoming patients, managing appointments, preparing billing, and maintaining patient records both digitally and in paper form. The role supports the smooth running of daily practice operations.",Experience in reception or front desk work is advantageous but not mandatory; friendly and professional manner; structured and organized; good German and English language skills; basic Microsoft Office knowledge.,"Friendly, modernly equipped practice rooms; continuing education support; opportunity for input and involvement in shaping own role.",On-site,https://www.stepstone.de/stellenangebote--Rezeptionistin-Medizinische-Fachangestellte-m-w-d-Berlin-Rothstein-Physiotherapie-GmbH--13966385-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/rothstein-physiotherapie-gmbh-427366/jobs,job-105,104
Nursing Professional - Psychiatry,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,Vivantes Wenckebach-Klinikum,Rehabilitation & Mental Health,2026-06-14,Part-time,,"Qualified nursing professional working in a psychiatric setting at Vivantes Wenckebach-Klinikum in Berlin, providing empathetic and needs-oriented care as part of holistic patient treatment and contributing to diagnostic and therapeutic processes. The role includes active participation in developing and improving nursing quality.","Completed qualification as Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger, or Altenpfleger; strong social and communication skills; willingness to work responsibly in a team with professional management of proximity and distance.",Structured onboarding; attractive pay according to TVöD; occupational pension (VBL); subsidized additional pension; CNE digital continuing education platform; convenient location; employee parking; occupational health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Psychiatrie-Berlin-Tempelhof-Vivantes-Wenckebach-Klinikum--13912603-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"38,5 Wochenstunden, Teilzeit möglich Entgelt: nach EG P8 – EG P9 TVöD – je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Wenckebach-Klinikum Bereich: Psychiatri | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-wenckebach-klinikum-112004/jobs,job-106,105
Nursing Professional - Auguste-Viktoria-Klinikum,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,Vivantes Auguste-Viktoria-Klinikum,Hospitals & Acute Care,2026-06-14,Part-time,,"Qualified nursing professional at Vivantes Auguste-Viktoria-Klinikum in Berlin Schöneberg, responsible for all nursing-relevant duties including empathetic patient care, participation in diagnostic and therapeutic processes, and active contribution to nursing quality development. The role involves collaborative teamwork in a hospital setting.","Completed qualification as Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger, or Altenpfleger; social competence and communication skills; willingness to work three-shift rotations; legally required proof of measles immunization.",Structured onboarding; attractive pay according to TVöD; occupational pension (VBL); subsidized additional pension; CNE digital continuing education platform; convenient location; employee parking; occupational health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Auguste-Viktoria-Klinikum-Berlin-Schoeneberg-Vivantes-Auguste-Viktoria-Klinikum--13912599-inline.html,HEALTHCARE,Berlin Schöneberg,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Auguste-Viktoria-Klinikum Bereich: vers | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-auguste-viktoria-klinikum-98600/jobs,job-107,106
Nursing Professional - Klinikum im Friedrichshain,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,Vivantes Klinikum im Friedrichshain Landsberger Allee,Hospitals & Acute Care,2026-06-14,Part-time,,"Qualified nursing professional at Vivantes Klinikum im Friedrichshain in Berlin, responsible for all nursing-relevant duties including empathetic patient care, participation in diagnostic and therapeutic processes, and active contribution to nursing quality development. The role involves collaborative teamwork across shifts.","Completed qualification as Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger, or Altenpfleger; social competence and communication skills; willingness to work three-shift rotations; legally required proof of measles immunization.",Structured onboarding; attractive pay according to TVöD; occupational pension (VBL); subsidized additional pension; CNE digital continuing education platform; convenient location; employee parking; occupational health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Klinikum-im-Friedrichshain-Berlin-Friedrichshain-Vivantes-Klinikum-im-Friedrichshain-Landsberger-Allee--13912600-inline.html,HEALTHCARE,Berlin Friedrichshain,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum im Friedrichshain Bereich: ver | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-im-friedrichshain-landsberger-allee-83295/jobs,job-108,107
Nursing Professional - Klinikum Kaulsdorf,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,Vivantes Klinikum Kaulsdorf,Hospitals & Acute Care,2026-06-14,Part-time,,"Qualified nursing professional at Vivantes Klinikum Kaulsdorf in Berlin, responsible for all nursing-relevant duties including empathetic and needs-oriented patient care and participation in diagnostic and therapeutic processes. The role involves collaborative teamwork and active contribution to nursing quality.","Completed qualification as Pflegefachfrau/Pflegefachmann, Gesundheits- und Krankenpfleger, Gesundheits- und Kinderkrankenpfleger, or Altenpfleger; social competence and enjoyment of working with people; willingness to work three-shift rotations; legally required proof of measles immunization.",Structured onboarding; attractive pay according to TVöD; occupational pension (VBL); subsidized additional pension; CNE digital continuing education platform; convenient location; employee parking; occupational health services.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Vivantes-Klinikum-Kaulsdorf-Berlin-Kaulsdorf-Vivantes-Klinikum-Kaulsdorf--13912602-inline.html,HEALTHCARE,Berlin Kaulsdorf,2026-06-19,,,,,"zeit: 38,5 Wochenstunden, Teilzeit möglich Entgelt: EG P7 – EG P9 TVöD, je nach Qualifikation und Einsatzbereich Einsatzort: Vivantes Klinikum Kaulsdorf Bereich: verschieden | ung und Weiterentwicklung unserer Pflegequalität Das bringen Sie mit Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw | Aktive Mitgestaltung und Weiterentwicklung unserer Pflegequalität • Ausbildungsabschluss: Pflegefachfrau / Pflegefachmann / Pflegefachperson, bzw",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/vivantes-klinikum-kaulsdorf-84816/jobs,job-109,108
Nursing Professional for Outpatient Care - Pankow/Friedrichshain,Nursing Professionals,2221,222,22,Nursing Professionals,Berlin,AWO Gemeinnützige Pflegegesellschaft mbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Qualified nursing professional providing autonomous and professional outpatient care to patients in the Pankow and Friedrichshain districts of Berlin, including treatment nursing, care planning, and documentation in collaboration with the care team. The role involves serving as a trusted point of contact for patients, relatives, and physicians.","Completed qualification as Altenpfleger, Gesundheits- und Krankenpfleger, Pflegefachfrau/Pflegefachmann, or comparable nursing qualification; German language proficiency of at least B2 level; team-oriented, friendly, empathetic, and responsible; driving license required (implied by outpatient setting).",Careful onboarding by experienced staff; supportive team environment; secure job with permanent contract; 30 days annual leave; hourly wage of €27.42; public holiday supplements; leasing of service bicycle.,On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-fuer-Pankow-Friedrichshain-Berlin-AWO-Gemeinnuetzige-Pflegegesellschaft-mbH--14084539-inline.html,HEALTHCARE,Berlin,2026-06-19,B2,,,,"Sprachniveau B2) eine Ausbildung als examinierte:r Altenpfleger:in, Gesundheits- und Krankenpfleger:in, Pflegefachfrau/-mann od | • eine Ausbildung als examinierte:r Altenpfleger:in, Gesundheits- und Krankenpfleger:in, Pflegefachfrau/-mann od",,Residential & Long-Term Care,,job-110,109
Nursing Professional in Intensive Care Residential Community,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,TIW Therapeutisch Intensives Wohnen GmbH GmbH,Long-term Care & Social Services,2026-06-14,Part-time,,"Provides basic and treatment nursing care in an intensive residential care setting, including tracheostomy tube changes, secretion management, and ventilation monitoring. Works within a multiprofessional team and documents care using digital systems.","Background in treatment nursing, basic nursing care, and invasive/non-invasive ventilation nursing.","Permanent contract (full-time, part-time, or mini-job); salary of €4,350 gross for 40-hour week; tax-free night shift supplements of 25% and additional allowances.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-in-der-TIW-Intensivpflege-Wohngemeinschaft-Zossen-bei-Berlin-TIW-Therapeutisch-Intensives-Wohnen-GmbH-GmbH--13963802-inline.html,HEALTHCARE,Zossen bei Berlin,2026-06-19,,,,,familiären Arbeitsumfeld eine faire und attraktive Vergütung: abhängig von der Qualifikation 4,,Residential & Long-Term Care,,job-111,110
Sales Specialist Ventilation,Other/Non-Healthcare (9999),9999,999,99,Other/Non-Healthcare,Not specified,Diamed Medizintechnik GmbH,Medical Services & Industry,2026-06-14,Full-time,,"Responsible for bringing the TrachFlush secretion management product to the German market, building relationships with decision-makers in intensive care, and conducting product training and workshops for clinical staff.","Completed training as an intensive care nurse or degree in medical technology, healthcare, or natural sciences; experience with mechanical ventilation preferred; strong German and solid English skills; sales experience in healthcare preferred.",Structured onboarding; attractive salary package with bonus system; special leave days; company pension after tenure; company car with private use option.,On-site,https://www.stepstone.de/stellenangebote--Vertriebsspezialist-Beatmung-m-w-d-fuer-das-gesamte-Bundesgebiet-bundesweit-Koeln-Berlin-Muenchen-Stuttgart-Frankfurt-Hannover-Hamburg-Essen-Diamed-Medizintechnik-GmbH--14025098-inline.html,HEALTHCARE,bundesweit,2026-06-19,,,,,Geschäftsleitung Ihr Profil: Erfolgreich abgeschlossene Ausbildung als Intensivpfleger (m/w/d) bzw | Geschäftsleitung • Erfolgreich abgeschlossene Ausbildung als Intensivpfleger (m/w/d) bzw,,Hospitals & Acute Care,https://www.stepstone.de/cmp/de/diamed-medizintechnik-gmbh-45247/jobs,job-112,111
Nursing Professional as Practice Instructor,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,LebensRaumHeute Pflege mobil GmbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Supervises and guides nursing trainees in a training ward while carrying out individual treatment nursing for clients under SGB V, including care planning, documentation, and coordination with relatives and physicians.","Completed qualification as a healthcare nurse, registered nurse, geriatric nurse, or equivalent; reliability and conscientiousness; enjoyment working with clients.","Fixed salary of €3,800–€4,200 (with advertised range up to €4,500); full-time or part-time on a Monday–Friday five-day week; flexible working time models with no shift work possible.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-als-Praxisanleiter-m-w-d-4-100-4-500-Berlin-LebensRaumHeute-Pflege-mobil-GmbH--14086416-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Für unser Haus Rudow suchen wir eine examinierte Pflegefachkraft (m/w/d) als Praxisanleiter für unsere AusbildungsstationFür un | mmenarbeit mit Angehörigen/Betreuern und Ärzten Ihr Profil Das bringst Du mit:- Abgeschlossene Ausbildung zum Gesundheitspfleger, Krankenpfleger, Altenpfleger oder Krankenschwester - Sp | : Mastercard mit monatlichen Guthaben zum Einkauf, Zuschuss zum Kita – Platz, Tankgutsch",,Residential & Long-Term Care,,job-113,112
Nursing Assistant,Home-Based Personal Care Workers (5322),5322,532,53,Home-based Personal Care Workers,Berlin,Ambulanter Pflegedienst Santé Evelina Ehrlich,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Supports clients of an outpatient care service with basic personal care, household tasks, and daily accompaniment, while observing and reporting changes in clients' condition to qualified nursing staff.","Qualification as nursing assistant or care assistant, or equivalent practical experience; empathy; reliability; teamwork skills; willingness to work flexible hours including weekends and public holidays.",Permanent contract (full-time or part-time); fair performance-based pay with supplements; structured onboarding; opportunities for further training and career advancement; supportive team environment.,On-site,https://www.stepstone.de/stellenangebote--Pflegehelfer-Berlin-Ambulanter-Pflegedienst-Sante-Evelina-Ehrlich--13965099-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"r individuellen und würdevollen Versorgung Ihr Profil Das bringst Du mit • Eine Qualifikation als Pflegehelfer/in, Pflegeassistent/in oder entsprechende praktische Erfahrung | ellung einer individuellen und würdevollen Versorgung Das bringst Du mit • Eine Qualifikation als Pflegehelfer/in, Pflegeassistent/in oder entsprechende praktische Erfahrung",,Residential & Long-Term Care,,job-114,113
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,MedicalCura24 GmbH,Outpatient & Ambulatory Care,2026-06-14,Part-time,,"Works in a small general practice handling patient reception and admission, laboratory tasks, blood draws, injections, vaccinations, physical therapy, spirometry, and ECG, using the Quincy practice software.","Experience in general medicine, billing, and disease management programmes (DMP) desirable; knowledge of Quincy Win software; skills in patient documentation, desinfection, and subcutaneous/intramuscular injections.",Opportunities for further training; company pension offered.,On-site,https://www.stepstone.de/stellenangebote--Suche-freundliche-MFA-m-w-d-fuer-kleine-Allgemeinarztpraxis-in-Reinickendorf-Berlin-MedicalCura24-GmbH--13964196-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,,job-115,114
